UniProtID,scale
A0A0A0MRZ7,149.64333216676812
A0A0A0MRZ8,144.17335111384614
A0A0A0MRZ9,153.70026225416433
A0A0A0MS00,171.35468061046015
A0A0A0MS01,155.15019333165094
A0A0A0MS02,126.93001474861458
A0A0A0MS03,161.02200371511432
A0A0A0MS04,182.82908592871044
A0A0A0MS05,138.40001685018746
A0A0A0MS06,154.01267417018218
A0A0A0MS14,137.13590050134837
A0A0A0MS15,133.8987632294575
A0A0A0MT36,133.71034437150163
A0A0A0MT70,437.4175243789949
A0A0A0MT76,236.40780074780625
A0A0A0MT87,260.94936009219066
A0A0A0MT94,236.32227188813368
A0A0A0MTA7,357.2152309630208
A0A0A6YYC5,106.89923816756888
A0A0A6YYD4,150.72854529719572
A0A0A6YYG2,141.23254426334216
A0A0A6YYG3,149.9308598811064
A0A0A6YYJ7,140.55266565712827
A0A0A6YYK1,143.37906672182208
A0A0A6YYK4,146.7531602543471
A0A0A6YYK6,168.1565907620409
A0A0A6YYK7,125.99451392247188
A0A0A6YYL3,69.37525586785623
A0A0B4J1U3,142.82975687286418
A0A0B4J1U4,139.14923209765385
A0A0B4J1U6,156.49262000645712
A0A0B4J1U7,111.08292321521036
A0A0B4J1V0,119.4029392719232
A0A0B4J1V1,168.01077066470592
A0A0B4J1V2,141.34109243322138
A0A0B4J1V6,164.79255789564624
A0A0B4J1V7,145.7814393033857
A0A0B4J1X5,145.91491434274386
A0A0B4J1X8,156.8817697244542
A0A0B4J1Y8,138.75160174538843
A0A0B4J1Y9,131.2677616853851
A0A0B4J1Z2,119.16868961277036
A0A0B4J2A2,268.44469368720974
A0A0B4J2D9,120.6761585975264
A0A0B4J2E0,156.8822885448029
A0A0B4J2F0,160.47626959469235
A0A0B4J2H0,142.50843707663327
A0A0B4J200,410.9849280189454
A0A0B4J234,132.77480897148493
A0A0B4J235,144.86403387267293
A0A0B4J237,143.8898144800631
A0A0B4J238,215.31911335764147
A0A0B4J240,176.0728961243208
A0A0B4J241,124.04739205699548
A0A0B4J244,123.1855416759393
A0A0B4J245,182.23582202762628
A0A0B4J248,221.12135154762288
A0A0B4J249,135.13767380110406
A0A0B4J262,125.1527272159166
A0A0B4J263,147.63307420634703
A0A0B4J264,104.36885056473396
A0A0B4J265,135.53620040214224
A0A0B4J266,142.5117908626562
A0A0B4J268,147.14345326878083
A0A0B4J271,150.56169198566934
A0A0B4J272,127.69023829074764
A0A0B4J273,150.48976575861286
A0A0B4J274,132.92880553040092
A0A0B4J275,151.28755463859682
A0A0B4J276,146.67086746028997
A0A0B4J277,196.95845385865704
A0A0B4J279,159.4955944505484
A0A0B4J280,149.06944654103083
A0A0C4DH24,118.96396361821878
A0A0C4DH25,187.03000400961787
A0A0C4DH26,135.49365537544955
A0A0C4DH27,165.270766403754
A0A0C4DH28,133.19057128568673
A0A0C4DH29,145.44919559651632
A0A0C4DH30,144.82716166302373
A0A0C4DH31,119.69339899833648
A0A0C4DH32,133.85945583486978
A0A0C4DH33,119.50921028323282
A0A0C4DH34,140.84109410990183
A0A0C4DH35,160.4338443778433
A0A0C4DH36,154.1297616432006
A0A0C4DH38,148.92422037322632
A0A0C4DH39,123.0066756397462
A0A0C4DH41,141.7335339831188
A0A0C4DH42,129.4374384911688
A0A0C4DH43,134.59958593721677
A0A0C4DH55,114.15079920551656
A0A0C4DH59,158.36997655618842
A0A0C4DH62,240.12104553468345
A0A0C4DH67,120.1384465746077
A0A0C4DH68,165.60905883099636
A0A0C4DH69,144.444006537521
A0A0C4DH72,135.18760152020505
A0A0C4DH73,151.38576224902494
A0A0C5B5G6,264.8421279504272
A0A0D9SF12,118.08997443760052
A0A0G2JMD5,127.74656855373608
A0A0G2JMI3,129.01205100115246
A0A0G2JS06,147.32121609311244
A0A0J9YVY3,135.71833504530665
A0A0J9YWL9,62.89355858619938
A0A0J9YWP8,402.0216602880415
A0A0J9YWX3,378.5978272073049
A0A0J9YX35,144.9606935966472
A0A0J9YX75,153.34713881358846
A0A0J9YX94,78.83063767892078
A0A0J9YXG5,281.1282663467282
A0A0J9YXM7,269.0002646138638
A0A0J9YXQ4,61.27279078676535
A0A0J9YXX1,146.102022575144
A0A0J9YXY3,148.7815145707492
A0A0J9YY54,61.37493449298203
A0A0K0K1A3,154.5491626974963
A0A0K0K1A5,195.92848392711568
A0A0K0K1B3,168.27200792585202
A0A0K0K1C0,176.0545145458173
A0A0K0K1C4,176.66062159557794
A0A0K0K1D8,183.93045767517387
A0A0K0K1E9,140.8327072526392
A0A0K0K1G6,153.2056011038854
A0A0K0K1G8,169.63159654310672
A0A0K2S4Q6,114.4344084631718
A0A0U1RQE8,178.5075739292346
A0A0U1RQF7,111.2582123341944
A0A0U1RQI7,45.31958451681559
A0A0U1RQS6,83.18156055710246
A0A0U1RR11,95.85729427625058
A0A0U1RR37,123.85748098536396
A0A0U1RRA0,162.8538822339361
A0A0U1RRE5,154.1230535205177
A0A0U1RRI6,77.93959415916576
A0A0U1RRK4,109.94054243379236
A0A0U1RRL7,122.45189869779092
A0A0U1RRN3,120.84501368869508
A0A0X1KG70,138.47572102603166
A0A1B0GTC6,142.90476665499543
A0A1B0GTD5,115.79293889407688
A0A1B0GTH6,57.862863530924045
A0A1B0GTI1,91.00731378782844
A0A1B0GTI8,124.6832655747308
A0A1B0GTK4,119.08951681400134
A0A1B0GTK5,138.54836126286915
A0A1B0GTL2,100.70821177820324
A0A1B0GTQ4,126.4664673317204
A0A1B0GTR0,135.3965589652637
A0A1B0GTR3,83.28475216848433
A0A1B0GTR4,109.6237691598546
A0A1B0GTS1,83.75656942172613
A0A1B0GTU1,65.20388572346711
A0A1B0GTU2,107.35538230524872
A0A1B0GTW7,68.97145549092743
A0A1B0GTY4,92.45834086481902
A0A1B0GTZ2,64.41406797087838
A0A1B0GU29,82.31577369736641
A0A1B0GU33,94.8684875156283
A0A1B0GU71,83.21594323737965
A0A1B0GUA5,105.34904553385478
A0A1B0GUA6,97.25292114186996
A0A1B0GUA7,110.26806145775991
A0A1B0GUA9,80.06313571898528
A0A1B0GUC4,125.31604918663484
A0A1B0GUI7,132.58475365482084
A0A1B0GUJ8,81.2799551109048
A0A1B0GUQ0,139.04740805687229
A0A1B0GUS0,71.12450504098523
A0A1B0GUS4,252.6909255489577
A0A1B0GUT2,150.25610205190478
A0A1B0GUU1,75.54232664480783
A0A1B0GUV1,138.03071305907685
A0A1B0GUV7,134.82128776617805
A0A1B0GUW6,56.44551770395452
A0A1B0GUW7,148.84041166881994
