UniProtID,pdb_file,multi_structure,parts,cartoons_ss_coloring,electrostatic_surface
A0A0C4DH73,,,,134.2956106346787,151.38576224902494
A0A075B6I1,,,,111.42055697404612,118.87347462104744
A0A075B6S2,,,,110.74873313472057,126.32119450355492
A0A087WW87,,,,109.06634870181294,117.17314646782302
A0AUZ9,,,,58.59002323124281,63.23603870565542
A0AVK6,,,,56.28244095680482,60.409418303245765
A0FGR8,,,,60.96053337104261,65.21451134049546
A0FGR9,,,,64.26220803924426,69.47005444798283
A0M8Q6,,,,207.82785183425116,223.52398476013923
A0PJE2,,,,162.36972081288923,185.5587480779729
A0PJX0,,,,136.1592536885076,152.6598784799745
A0PJY2,,,,95.0505884515194,102.74801665522398
A0PJZ3,,,,81.52447222670622,93.66073691812691
A1A4G5,,,,91.24724205511048,101.94709834102626
A1A4S6,,,,66.6600819463489,70.4445921545929
A1A4V9,,,,71.29652670700469,75.17911418811467
A1A4Y4,,,,148.33603032126538,167.66274364360973
A1A5B4,,,,75.3090495795943,82.52185851757552
A1A5D9,,,,28.769308399820066,29.60433999626837
A1A519,,,,72.23587136922879,76.6482493867531
A1A580,,,,131.81929747364276,147.6908989674817
A1IGU5,,,,48.19339967295787,49.75617482778016
A1KXE4,,,,93.2839243748708,103.98709882547924
A1L0T0,,,,65.61237626147059,69.51113705224503
A1L3X0,,,,124.43622232527515,139.62996461715647
A1L4K1,,,,48.87991637664242,50.43724451832747
A1L162,,,,79.01694850015679,85.63285466677729
A1L170,,,,88.66810983355099,97.11556741430692
A1L429,,,,79.48125875445021,83.2851616049812
A1XBS5,,,,71.85657630806224,76.76895702573741
A1Z1Q3,,,,72.52916261082889,78.11573542238727
A2A2Y4,,,,61.68151865459899,66.42451706393607
A2IDD5,,,,67.83309640723911,72.08499377170787
A2RU49,,,,127.24652086758432,140.5738845795795
A2RU54,,,,87.90499417733963,96.57405310362071
A2RU67,,,,72.48045121396002,77.42875523961635
A2AJT9,,,,58.56476204416814,63.23938517254244
A2RUB6,,,,57.010204875387466,60.42645064709423
A2RUR9,,,,37.719716308464605,39.35990837798207
A2RUS2,,,,80.60333132566835,88.06039017376477
A2RUU4,,,,112.21322155844469,122.74494422644908
